zipcode,state,county,city
98115,wa,king,seattle
98103,wa,king,seattle
98105,wa,king,seattle
98118,wa,king,seattle
98125,wa,king,seattle
98117,wa,king,seattle
98122,wa,king,seattle
98144,wa,king,seattle
98116,wa,king,seattle
98133,wa,king,seattle
98106,wa,king,seattle
98107,wa,king,seattle
98108,wa,king,seattle
98112,wa,king,seattle
98119,wa,king,seattle
98102,wa,king,seattle
98109,wa,king,seattle
98126,wa,king,seattle
98199,wa,king,seattle
98136,wa,king,seattle
98104,wa,king,seattle
98121,wa,king,seattle
98101,wa,king,seattle
98177,wa,king,seattle
98178,wa,king,seattle
98146,wa,king,seattle
98134,wa,king,seattle
98131,wa,king,seattle
98132,wa,king,seattle
98148,wa,king,seattle
98154,wa,king,seattle
98155,wa,king,seattle
98158,wa,king,seattle
98161,wa,king,seattle
98164,wa,king,seattle
98166,wa,king,seattle
98168,wa,king,seattle
98171,wa,king,seattle
98174,wa,king,seattle
98188,wa,king,seattle
98198,wa,king,seattle
98129,wa,king,seattle
98151,wa,king,seattle
98170,wa,king,seattle
98181,wa,king,seattle
98184,wa,king,seattle
98185,wa,king,seattle
98189,wa,king,seattle
98190,wa,king,seattle
98191,wa,king,seattle
98195,wa,king,seattle
98111,wa,king,seattle
98113,wa,king,seattle
98114,wa,king,seattle
98124,wa,king,seattle
98127,wa,king,seattle
98138,wa,king,seattle
98139,wa,king,seattle
98141,wa,king,seattle
98145,wa,king,seattle
98160,wa,king,seattle
98165,wa,king,seattle
98175,wa,king,seattle
98194,wa,king,seattle
98166,wa,king,burien
98148,wa,king,burien
98146,wa,king,burien
98168,wa,king,burien
98030,wa,king,kent
98032,wa,king,kent
98031,wa,king,kent
98042,wa,king,kent
98038,wa,king,kent
98051,wa,king,kent
98055,wa,king,kent
98092,wa,king,kent
98188,wa,king,kent
98198,wa,king,kent
98035,wa,king,kent
98064,wa,king,kent
98089,wa,king,kent
98166,wa,king,Normandy Park
98148,wa,king,Normandy Park
98198,wa,king,Normandy Park
98168,wa,king,tukwila
98188,wa,king,tukwila
98178,wa,king,tukwila
98032,wa,king,tukwila
98057,wa,king,tukwila
98108,wa,king,tukwila
98056,wa,king,Newcastle
98059,wa,king,Newcastle
98006,wa,king,Newcastle
98040,wa,king,mercer island
98006,wa,king,bellevue
98007,wa,king,bellevue
98008,wa,king,bellevue
98004,wa,king,bellevue
98005,wa,king,bellevue
98027,wa,king,bellevue
98033,wa,king,bellevue
98039,wa,king,bellevue
98052,wa,king,bellevue
98059,wa,king,bellevue
98009,wa,king,bellevue
98015,wa,king,bellevue
98039,wa,king,medina